,AISC_Manual_Label.1,AISC_Manual_Label,A.1,d.1,W.1,rx.1,ry.1,Sx.1,Sy.1,bf.1,tf.1,tw.1,Ix.1,Iy.1
168,W920X271,W36X182,34600,922,271.0,368.0,64.8,10200000.0,944000.0,307,30,18.4,4700000000.0,144000000.0
169,W530X272,W21X182,34600,577,272.0,239.0,76.2,6830000.0,1270000.0,318,37.6,21.1,1970000000.0,201000000.0
170,W310X283,W12X190,36100,366,283.0,148.0,82.6,4310000.0,1520000.0,323,44.2,26.9,787000000.0,245000000.0
171,W760X284,W30X191,36200,780,284.0,325.0,87.9,9830000.0,1470000.0,381,30.2,18,3830000000.0,280000000.0
172,W460X286,W18X192,36300,518,286.0,210.0,70.9,6230000.0,1260000.0,292,44.5,24.4,1610000000.0,183000000.0
173,W610X285,W24X192,36500,648,285.0,267.0,78.0,8050000.0,1340000.0,330,37.1,20.6,2610000000.0,221000000.0
174,W360X287,W14X193,36600,394,287.0,165.0,103.0,5080000.0,1950000.0,399,36.6,22.6,999000000.0,388000000.0
175,W690X289,W27X194,36800,714,289.0,297.0,83.6,9160000.0,1440000.0,356,34,19.1,3270000000.0,258000000.0
176,W920X289,W36X194,36800,927,289.0,371.0,65.0,10900000.0,1010000.0,307,32,19.4,5040000000.0,156000000.0
177,W1000X296,W40X199,37900,983,296.0,406.0,87.6,12600000.0,1450000.0,401,27.2,16.5,6200000000.0,289000000.0
178,W840X299,W33X201,38100,856,299.0,356.0,90.4,11200000.0,1560000.0,399,29.2,18.2,4830000000.0,312000000.0
179,W530X300,W21X201,38300,584,300.0,241.0,76.7,7550000.0,1410000.0,320,41.4,23.1,2210000000.0,226000000.0
180,W610X307,W24X207,39200,653,307.0,269.0,78.2,8700000.0,1460000.0,330,39.9,22.1,2840000000.0,241000000.0
181,W310X313,W12X210,39900,373,313.0,150.0,83.3,4790000.0,1700000.0,325,48.3,30,891000000.0,276000000.0
182,W920X313,W36X210,39900,932,313.0,371.0,65.5,11800000.0,1110000.0,310,34.5,21.1,5490000000.0,171000000.0
183,W360X314,W14X211,40000,399,314.0,166.0,103.0,5540000.0,2130000.0,401,39.6,24.9,1110000000.0,429000000.0
184,W1000X314,W40X211,40100,1000,314.0,401.0,63.8,12900000.0,1080000.0,300,36.1,19.1,6450000000.0,162000000.0
185,W760X314,W30X211,40200,785,314.0,328.0,88.6,10900000.0,1640000.0,384,33.5,19.7,4290000000.0,315000000.0
186,W460X315,W18X211,40200,526,315.0,212.0,71.6,6870000.0,1400000.0,295,48.5,26.9,1800000000.0,205000000.0
187,W1000X321,W40X215,41000,991,321.0,411.0,89.9,14100000.0,1660000.0,401,31,16.5,6950000000.0,334000000.0
188,W690X323,W27X217,41200,721,323.0,300.0,84.3,10300000.0,1640000.0,358,38.1,21.1,3710000000.0,293000000.0
189,W840X329,W33X221,42100,861,329.0,358.0,91.2,12400000.0,1740000.0,401,32.5,19.7,5370000000.0,350000000.0
190,W530X332,W21X223,42900,594,332.0,243.0,77.2,8520000.0,1580000.0,323,45.5,25.4,2530000000.0,256000000.0
191,W610X341,W24X229,43400,660,341.0,272.0,79.0,9640000.0,1630000.0,333,43.9,24.4,3180000000.0,271000000.0
192,W1100X343,W44X230,43700,1090,343.0,445.0,87.1,15900000.0,1660000.0,401,31,18,8660000000.0,331000000.0
193,W310X342,W12X230,43700,384,342.0,152.0,84.1,5260000.0,1880000.0,328,52.6,32.8,1010000000.0,309000000.0
194,W920X345,W36X232,43900,943,345.0,376.0,66.5,13300000.0,1270000.0,307,39.9,22.1,6240000000.0,195000000.0
195,W920X344,W36X231,44000,927,344.0,384.0,94.2,14000000.0,1870000.0,419,32,19.3,6490000000.0,391000000.0
196,W360X347,W14X233,44200,406,347.0,168.0,104.0,6150000.0,2380000.0,404,43.7,27.2,1250000000.0,479000000.0
197,W460X349,W18X234,44300,536,349.0,214.0,72.4,7640000.0,1570000.0,297,53.6,29.5,2040000000.0,232000000.0
198,W1000X350,W40X235,44600,1010,350.0,404.0,64.5,14300000.0,1220000.0,302,40.1,21.1,7240000000.0,185000000.0
199,W760X350,W30X235,44700,795,350.0,330.0,89.2,12300000.0,1870000.0,384,38.1,21.1,4870000000.0,356000000.0
200,W690X350,W27X235,44800,729,350.0,300.0,84.6,11100000.0,1770000.0,361,40.9,23.1,4040000000.0,320000000.0
201,W840X359,W33X241,45900,869,359.0,358.0,91.9,13600000.0,1930000.0,404,35.6,21.1,5910000000.0,388000000.0
202,W920X368,W36X247,46800,932,368.0,386.0,95.0,15000000.0,2020000.0,419,34.3,20.3,6950000000.0,420000000.0
203,W610X372,W24X250,47400,668,372.0,272.0,79.8,10600000.0,1800000.0,335,48,26.4,3530000000.0,301000000.0
204,W1000X371,W40X249,47400,1000,371.0,414.0,90.2,16300000.0,1930000.0,401,36.1,19.1,8160000000.0,385000000.0
205,W530X369,W21X248,47600,602,369.0,244.0,78.2,9440000.0,1790000.0,325,50.5,27.9,2840000000.0,291000000.0
206,W310X375,W12X252,47800,391,375.0,154.0,84.8,5780000.0,2080000.0,330,57.2,35.6,1130000000.0,345000000.0
207,W920X381,W36X256,48600,951,381.0,378.0,67.3,14700000.0,1420000.0,310,43.9,24.4,6990000000.0,220000000.0
208,W360X382,W14X257,48800,417,382.0,170.0,105.0,6800000.0,2640000.0,406,48,30,1420000000.0,537000000.0
209,W460X384,W18X258,49000,546,384.0,217.0,73.2,8420000.0,1750000.0,300,58.4,32.5,2290000000.0,261000000.0
210,W690X384,W27X258,49100,737,384.0,302.0,85.3,12200000.0,1970000.0,363,45,24.9,4500000000.0,358000000.0
211,W760X389,W30X261,49700,803,389.0,333.0,89.7,13600000.0,2080000.0,386,41.9,23.6,5450000000.0,399000000.0
212,W920X390,W36X262,49800,937,390.0,389.0,95.5,15900000.0,2160000.0,422,36.6,21.3,7450000000.0,454000000.0
